2024-09-27 17:13:04 - INFO - Loading Dataset...
2024-09-27 17:13:04 - INFO - Load Succ
2024-09-27 17:13:04 - INFO - Handling Data...
2024-09-27 17:13:04 - INFO - Preprocess Data Done
2024-09-27 17:13:04 - INFO - Building Decision Tree...
2024-09-27 17:16:30 - INFO - Construct: feature - 5 | threshold - 2
2024-09-27 17:17:36 - INFO - Construct: feature - 4 | threshold - 0.7460391668431514
2024-09-27 17:18:08 - INFO - Construct: feature - 10 | threshold - 0.5328714887529771
2024-09-27 17:18:38 - INFO - Construct: feature - 5 | threshold - 1
2024-09-27 17:18:38 - INFO - Construct: feature - 12 | threshold - 0.04556031874476325
2024-09-27 17:18:39 - INFO - Construct: feature - 9 | threshold - 0
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - 1.7901725711844287
2024-09-27 17:18:39 - INFO - Construct: feature - 1 | threshold - 5
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -1.0419997976491162
2024-09-27 17:18:39 - INFO - Construct: feature - 13 | threshold - 25
2024-09-27 17:18:39 - INFO - Construct: feature - 3 | threshold - 2
2024-09-27 17:18:39 - INFO - Construct: feature - 1 | threshold - 4
2024-09-27 17:18:39 - INFO - Construct: feature - 5 | threshold - 0
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - -1.1423307851989655
2024-09-27 17:18:39 - INFO - Construct: feature - 4 | threshold - -0.8087592209689838
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.2529017722389361
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.24425170863794327
2024-09-27 17:18:39 - INFO - Construct: feature - 8 | threshold - 2
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - 0.14042505185221293
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - 0.1446600775144734
2024-09-27 17:18:39 - INFO - Construct: feature - 6 | threshold - 9
2024-09-27 17:18:39 - INFO - Construct: feature - 6 | threshold - 7
2024-09-27 17:18:39 - INFO - Construct: feature - 11 | threshold - 4.697052332192868
2024-09-27 17:18:39 - INFO - Construct: feature - 10 | threshold - 0.5128313507314024
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - 1.2769844838173348
2024-09-27 17:18:39 - INFO - Construct: feature - 3 | threshold - 2
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -1.514986791244261
2024-09-27 17:18:39 - INFO - Construct: feature - 12 | threshold - 2.9611918845763157
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.026493700088961694
2024-09-27 17:18:39 - INFO - Construct: feature - 6 | threshold - 1
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - -0.04264202655519267
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.7451595537469171
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.14598395434495523
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.12024219880947043
2024-09-27 17:18:39 - INFO - Construct: feature - 11 | threshold - 3.2080487384881935
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - 3.4314473876332494
2024-09-27 17:18:39 - INFO - Construct: feature - 7 | threshold - 1
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - 0.32392089299273163
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -1.0131030901102025
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -1.2376541935134138
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.07028405492334182
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - 0.4705460608119013
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - -0.3358923621935321
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -0.4773865553297632
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - 1.643547403365259
2024-09-27 17:18:39 - INFO - Construct: feature - 2 | threshold - -1.105534656913364
2024-09-27 17:18:39 - INFO - Construct: feature - 0 | threshold - -0.7024552817414563
